modelo,n_registros,tempo_total_sec,tempo_medio_sec,tempo_min_sec,tempo_max_sec
GradientBoosting,25,677.0865882309972,27.08346352923989,2.4643009929986874,90.52265170999999
RandomForest,25,239.3812472129939,9.575249888519757,0.7697622470004717,31.614662830999805
QDA,25,52.280824282997855,2.091232971319914,0.10627322400432604,6.5555931459985
DecisionTree,25,46.593328008990284,1.8637331203596113,0.07306742300170299,6.10692513200047
LDA,25,46.21049016799043,1.8484196067196172,0.1109381990008842,5.778007058001094
GaussianNB,25,32.403807716011215,1.2961523086404485,0.06818366300103662,3.9892572709995875
