seletor,n_registros,n_features,tempo_total_sec,tempo_medio_sec,tempo_min_sec,tempo_max_sec
LowVariance,19,12.0,166.44930274099534,8.760489617947123,0.06818366300103662,88.14763443599986
ExtraTrees,19,15.0,166.18330694900033,8.74648983942107,0.06854442500298319,90.52265170999999
mRMR,19,15.0,165.03083671499735,8.68583351131565,0.07095138100157783,89.23544727999979
LinearSVC_L1,19,15.0,162.15975827099646,8.53472411952613,0.07365483600005973,88.84919953000099
Fisher,19,15.0,108.33172322899918,5.7016696436315355,0.07034504399962316,51.24221213199962
Pearson,19,15.0,107.0506481739958,5.634244640736621,0.07241735699972196,49.89122260499971
LassoCV,19,15.0,101.90338179600258,5.3633358840001355,0.07094562200290966,46.16862505499921
