stage,seletor,modelo,status,error_message,n_features,n_trials,n_cv_folds,tempo_fit_sec,tempo_predict_sec,tempo_proba_sec,tempo_joblib_dump_sec,tempo_otimizacao_sec,tempo_total_sec,experiment_timestamp
baseline,,LDA,success,,22,,,0.1641885880017071,0.00189069800399011,0.002858928004570771,,,0.16893821401026798,2026-05-03T23:48:03.446705
baseline,,QDA,success,,22,,,0.1276311990004615,0.004764607998367865,0.006969740999920759,,,0.13936554799875012,2026-05-03T23:48:03.789177
baseline,,GaussianNB,success,,22,,,0.06932018500083359,0.0032202000002143905,0.003704608003317844,,,0.07624499300436582,2026-05-03T23:48:04.013618
baseline,,DecisionTree,success,,22,,,0.10852847699425183,0.0020755990044563077,0.0016548109997529536,,,0.1122588869984611,2026-05-03T23:48:04.308038
baseline,,RandomForest,success,,22,,,1.7541298360010842,0.06752787299774354,0.06737259800138418,,,1.889030307000212,2026-05-03T23:48:06.373922
baseline,,GradientBoosting,success,,22,,,5.638477968997904,0.026619049000146333,0.026738464999652933,,,5.691835482997703,2026-05-03T23:48:12.236202
