stage,n_registros,tempo_total_sec,tempo_medio_sec,tempo_min_sec,tempo_max_sec
optuna_by_selector_optimization,42,1244.4015849850257,29.628609166310135,3.7896773719985504,140.96322859499924
optuna_global_optimization,6,223.44020612599707,37.24003435433284,3.9223822300045867,140.40827375999652
optuna_by_selector_training,42,83.63838660494366,1.9913901572605635,0.06596807499590795,11.398938968006405
feature_selection_selector_total,7,51.67704180299188,7.382434543284554,5.3657648250009515,8.997049172001425
feature_selection,42,44.25216064105916,1.0536228724061705,0.06846936700458173,5.562059949996183
optuna_global_training,6,15.322971382993273,2.5538285638322122,0.0711656990024494,11.174776314997871
baseline,6,8.07767343200976,1.34627890533496,0.07624499300436582,5.691835482997703
ensemble_base_training,6,7.782789855977171,1.2971316426628619,0.0780903399863746,5.361413688995526
ensemble_soft_voting,1,0.17970598499960033,0.17970598499960033,0.17970598499960033,0.17970598499960033
ensemble_averaging,1,0.1582428589972551,0.1582428589972551,0.1582428589972551,0.1582428589972551
