model_id,time_ms_p50,time_per_line_ms,accuracy,f1,combined,dominated,pareto_frontier
lowvariance_lda,82.234,0.004345257595772787,0.9239,0.9232436432040472,0.9235718216020237,False,True
lowvariance_decisiontree,95.798,0.005061981505944518,0.9688,0.9753604559530864,0.9720802279765433,False,True
lowvariance_gradientboosting,692.885,0.03661215323645971,0.9754,0.974454342285468,0.9749271711427341,False,True
lowvariance_randomforest,4897.255,0.25877173051519153,0.9735,0.9744537551921626,0.9739768775960813,True,False
lowvariance_svm,146159.933,7.723114029062087,0.9291,,0.9291,True,False
