model_id,time_ms,ci95_lower,ci95_upper,accuracy,f1,combined,dominated,pareto_frontier
lowvariance_lda,0.005557279926233992,0.00527200884799135,0.005842551004476636,0.924,0.9232436432040472,0.9236218216020236,False,True
lowvariance_decisiontree,0.005665336521579185,0.005363487015298815,0.0059671860278595525,0.969,0.9753604559530864,0.9721802279765432,False,True
lowvariance_gradientboosting,0.0266244505650696,0.025162861436378723,0.02808603969376048,0.975,0.974454342285468,0.974727171142734,False,True
lowvariance_randomforest,0.26345465373213484,0.2528872331186843,0.27402207434558534,0.974,0.9744537551921626,0.9742268775960813,True,False
lowvariance_svm,9.237351869284733,8.484033085950525,9.990670652618942,0.929,,0.929,True,False
