Model,Accuracy,Precision,F1 Score,Log Loss
DecisionTree,0.9753764861294584,0.9756646512110522,0.9753604559530865,0.0806148313790317
GradientBoosting,0.9746895640686922,0.9750045164071929,0.9746721395102855,0.07071981227065581
RandomForest,0.9745838837516513,0.9751972915077143,0.9745573487326327,0.07958536466410225
LDA,0.9238573315719947,0.9325756168824612,0.9232436432040473,0.3766005700367668
GaussianNB,0.9233817701453104,0.9319137973907148,0.9227740261190922,2.761667887245892
QDA,0.9230647291941876,0.9315353638090984,0.922457475688747,0.7961697143707599
