Método,Num Features,Acurácia,Média |Correlação|,Redução Features (%),Δ Acurácia vs Baseline
BASELINE (Todas),29,0.9986966323798788,,0.0,0.0
mRMR,15,0.9958433140763703,0.1718741889131021,48.3,-0.0029
Fisher,15,0.9934479357474989,0.20051374696507324,48.3,-0.0052
Pearson,15,0.9934479357474989,0.20051374696507324,48.3,-0.0052
ExtraTrees,15,0.9986614062279836,0.15667349947685158,48.3,-0.0
LinearSVC,15,0.9988375369874595,,48.3,0.0001
Lasso,15,0.9986261800760885,,48.3,-0.0001
