stage,seletor,modelo,status,error_message,n_features,n_trials,n_cv_folds,tempo_fit_sec,tempo_predict_sec,tempo_proba_sec,tempo_joblib_dump_sec,tempo_otimizacao_sec,tempo_total_sec,experiment_timestamp
baseline,,LDA,success,,22,,,0.14223838799989608,0.001282555998841417,0.003984742999818991,,,0.14750568699855648,2026-04-26T19:11:53.363619
baseline,,QDA,success,,22,,,0.10276544400039711,0.006495387999166269,0.0042461020002519945,,,0.11350693399981537,2026-04-26T19:11:53.673369
baseline,,GaussianNB,success,,22,,,0.06469691199890804,0.002726393999182619,0.0027657529990392504,,,0.0701890589971299,2026-04-26T19:11:53.884965
baseline,,DecisionTree,success,,22,,,0.10808043100041687,0.0018175459990743548,0.0012830350005970104,,,0.11118101200008823,2026-04-26T19:11:54.162408
baseline,,RandomForest,success,,22,,,1.5650467700015724,0.07229587700021511,0.07229062499936845,,,1.709633272001156,2026-04-26T19:11:56.038305
baseline,,GradientBoosting,success,,22,,,5.319153196000116,0.030443109999396256,0.030744255000172416,,,5.380340560999684,2026-04-26T19:12:01.590946
