seletor,n_registros,n_features,tempo_total_sec,tempo_medio_sec,tempo_min_sec,tempo_max_sec
LowVariance,19,12.0,138.10071549399436,7.268458710210229,0.06360750399835524,66.81482003400015
ExtraTrees,19,15.0,136.30911218501024,7.174163799211065,0.06564688500111515,66.770171234999
mRMR,19,15.0,135.92454513399207,7.153923428104846,0.06553738299953693,66.63859049799976
LinearSVC_L1,19,15.0,135.73909755299246,7.144163029104867,0.06585807599913096,66.67233509799917
LassoCV,19,15.0,91.22984471800373,4.8015707746317755,0.06509174499842629,39.489644937000776
Pearson,19,15.0,90.65079628800595,4.771094541473997,0.06546995000098832,37.19687784599955
Fisher,19,15.0,90.46520482400229,4.761326569684331,0.06514821400196524,37.3820007989998
