stage,seletor,modelo,status,error_message,n_features,n_trials,n_cv_folds,tempo_fit_sec,tempo_predict_sec,tempo_proba_sec,tempo_joblib_dump_sec,tempo_otimizacao_sec,tempo_total_sec,experiment_timestamp
baseline,,LDA,success,,22.0,,,0.14223838799989608,0.001282555998841417,0.003984742999818991,,,0.14750568699855648,2026-04-26T19:11:53.363619
baseline,,QDA,success,,22.0,,,0.10276544400039711,0.006495387999166269,0.0042461020002519945,,,0.11350693399981537,2026-04-26T19:11:53.673369
baseline,,GaussianNB,success,,22.0,,,0.06469691199890804,0.002726393999182619,0.0027657529990392504,,,0.0701890589971299,2026-04-26T19:11:53.884965
baseline,,DecisionTree,success,,22.0,,,0.10808043100041687,0.0018175459990743548,0.0012830350005970104,,,0.11118101200008823,2026-04-26T19:11:54.162408
baseline,,RandomForest,success,,22.0,,,1.5650467700015724,0.07229587700021511,0.07229062499936845,,,1.709633272001156,2026-04-26T19:11:56.038305
baseline,,GradientBoosting,success,,22.0,,,5.319153196000116,0.030443109999396256,0.030744255000172416,,,5.380340560999684,2026-04-26T19:12:01.590946
feature_selection,LowVariance,LDA,success,,12.0,,,0.10948028600068938,0.0010784679998323554,0.0008874899995134911,,,0.11144624400003522,2026-04-26T19:12:11.720848
feature_selection,LowVariance,QDA,success,,12.0,,,0.09611640999901283,0.0032735909990151413,0.002834627999618533,,,0.1022246289976465,2026-04-26T19:12:12.016246
feature_selection,LowVariance,GaussianNB,success,,12.0,,,0.05959887999961211,0.001984942000490264,0.0020236819982528687,,,0.06360750399835524,2026-04-26T19:12:12.220279
feature_selection,LowVariance,DecisionTree,success,,12.0,,,0.10767995399874053,0.0016171000006579561,0.0012018209999951068,,,0.11049887499939359,2026-04-26T19:12:12.498771
feature_selection,LowVariance,RandomForest,success,,12.0,,,1.7044707460008794,0.07301242199901026,0.07228141199993843,,,1.8497645799998281,2026-04-26T19:12:14.514412
feature_selection,LowVariance,GradientBoosting,success,,12.0,,,4.916206265001165,0.029064139000183786,0.02900893200057908,,,4.974279336001928,2026-04-26T19:12:19.653314
feature_selection_selector_total,LowVariance,,success,,12.0,,,,,,,,8.231067083999733,2026-04-26T19:12:19.653412
