seletor,modelo,n_features,accuracy,precision,f1,log_loss,fp_per_class,fn_per_class,model_path_optuna,model_path_refactored
LinearSVC_L1,DecisionTree,15,0.9623249669749009,0.9631404096376114,0.9622759379508597,0.13709062133945987,"[151, 562]","[562, 151]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_linearsvc_l1_decisiontree.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_linearsvc_l1_decisiontree.pkl
LinearSVC_L1,LDA,15,0.6337648612945839,0.6465003897764575,0.6296023966000933,0.6405984029781336,"[4666, 2265]","[2265, 4666]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_linearsvc_l1_lda.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_linearsvc_l1_lda.pkl
LinearSVC_L1,QDA,15,0.6122060766182299,0.6209214095155903,0.6092481396141771,0.7043900858387955,"[4693, 2646]","[2646, 4693]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_linearsvc_l1_qda.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_linearsvc_l1_qda.pkl
LinearSVC_L1,GaussianNB,15,0.5308322324966975,0.6362331341017818,0.3895894353371982,4.491517794087395,"[107, 8772]","[8772, 107]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_linearsvc_l1_gaussiannb.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_linearsvc_l1_gaussiannb.pkl
LowVariance,RandomForest,12,0.964227212681638,0.9653181335446771,0.9641710083976748,0.10240157996931543,"[103, 574]","[574, 103]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_lowvariance_randomforest.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_lowvariance_randomforest.pkl
LowVariance,GradientBoosting,12,0.9641215323645971,0.9650286616606695,0.964071696289307,0.1010634390719228,"[124, 555]","[555, 124]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_lowvariance_gradientboosting.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_lowvariance_gradientboosting.pkl
LowVariance,DecisionTree,12,0.9623249669749009,0.9631404096376114,0.9622759379508597,0.13708113819611445,"[151, 562]","[562, 151]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_lowvariance_decisiontree.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_lowvariance_decisiontree.pkl
LowVariance,LDA,12,0.6338705416116248,0.6466703034185285,0.6296837598769578,0.6426025602530937,"[4668, 2261]","[2261, 4668]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_lowvariance_lda.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_lowvariance_lda.pkl
LowVariance,QDA,12,0.6165389696169089,0.6253231349629867,0.6136650083463574,0.7224717656702164,"[4645, 2612]","[2612, 4645]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_lowvariance_qda.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_lowvariance_qda.pkl
LowVariance,GaussianNB,12,0.5308322324966975,0.6362331341017818,0.3895894353371982,4.4691837410387665,"[107, 8772]","[8772, 107]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_lowvariance_gaussiannb.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_lowvariance_gaussiannb.pkl
