stage,n_registros,tempo_total_sec,tempo_medio_sec,tempo_min_sec,tempo_max_sec
optuna_by_selector_optimization,42,703.9556879850006,16.760849713928586,3.5759065590009413,66.81482003400015
optuna_global_optimization,6,120.70509915299954,20.117516525499923,3.6792837220000365,68.77923242399993
feature_selection_selector_total,7,49.340378881996,7.048625554570857,5.290793273999952,8.406782690999535
feature_selection,42,42.1701553130024,1.0040513169762475,0.06360750399835524,5.138716681000005
optuna_by_selector_training,42,22.95309401600207,0.5465022384762397,0.06436674100041273,2.174433437998232
ensemble_base_training,6,7.6194582210027875,1.2699097035004645,0.0662856950002606,5.217340277999028
baseline,6,7.53235652499643,1.2553927541660717,0.0701890589971299,5.380340560999684
optuna_global_training,6,4.272293545003777,0.7120489241672961,0.06582099299885158,2.2047440240003198
ensemble_soft_voting,1,0.1573922389998188,0.1573922389998188,0.1573922389998188,0.1573922389998188
ensemble_averaging,1,0.14900909999960277,0.14900909999960277,0.14900909999960277,0.14900909999960277
