seletor,modelo,n_features,accuracy,precision,f1,log_loss
ExtraTrees,GradientBoosting,15,0.9625891677675033,0.9639089666302005,0.9625219499373597,0.10786475866457407
Fisher,DecisionTree,15,0.9518097754293263,0.9539574801116464,0.9516844384799314,0.15973277682786663
LassoCV,DecisionTree,15,0.9544517833553501,0.9565665062236547,0.9543354190316967,0.1547663091345864
LinearSVC_L1,GradientBoosting,15,0.9625891677675033,0.9639089666302005,0.9625219499373597,0.10785696648734666
LowVariance,GradientBoosting,12,0.9625891677675033,0.9639089666302005,0.9625219499373597,0.10784820241254249
Pearson,DecisionTree,15,0.9518097754293263,0.9539574801116464,0.9516844384799314,0.15973277682786663
mRMR,GradientBoosting,15,0.9625891677675033,0.9639089666302005,0.9625219499373597,0.10786347199528191
