modelo,n_registros,tempo_total_sec,tempo_medio_sec,tempo_min_sec,tempo_max_sec
GradientBoosting,25,502.83703767899533,20.113481507159815,1.0380379279995395,68.77923242399993
RandomForest,25,239.1347065900136,9.565388263600545,0.44406718800200906,31.64836615799868
QDA,25,48.08141412299665,1.9232565649198659,0.1011690009963786,6.253090827000051
DecisionTree,25,45.426044409003225,1.817041776360129,0.0789804460000596,5.762293896999836
LDA,25,43.60876174100122,1.7443504696400487,0.10782474799816555,5.363412930999402
GaussianNB,25,30.120180215997607,1.2048072086399042,0.06360750399835524,3.6792837220000365
