stage,seletor,modelo,status,error_message,n_features,n_trials,n_cv_folds,tempo_fit_sec,tempo_predict_sec,tempo_proba_sec,tempo_joblib_dump_sec,tempo_otimizacao_sec,tempo_total_sec,experiment_timestamp
feature_selection_selector_total,LowVariance,,success,,12,,,,,,,,8.081887307000216,2026-05-04T20:34:43.945720
feature_selection_selector_total,Pearson,,success,,15,,,,,,,,5.080319728000177,2026-05-04T20:34:49.029297
feature_selection_selector_total,Fisher,,success,,15,,,,,,,,4.9979835990006904,2026-05-04T20:34:54.030674
feature_selection_selector_total,mRMR,,success,,15,,,,,,,,7.794966466000005,2026-05-04T20:35:01.828784
feature_selection_selector_total,LassoCV,,success,,15,,,,,,,,5.294784517000153,2026-05-04T20:35:07.126970
feature_selection_selector_total,LinearSVC_L1,,success,,15,,,,,,,,7.896000355000069,2026-05-04T20:35:15.027393
feature_selection_selector_total,ExtraTrees,,success,,15,,,,,,,,8.572258222000528,2026-05-04T20:35:23.603389
