seletor,modelo_sem_optuna,accuracy_sem_optuna,precision_sem_optuna,f1_sem_optuna,log_loss_sem_optuna,modelo_com_optuna,accuracy_com_optuna,precision_com_optuna,f1_com_optuna,log_loss_com_optuna,model_path_optuna,model_path_refactored,delta_f1
ExtraTrees,GradientBoosting,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07356801749934792,GradientBoosting,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734,../models/models_ensemble_v2/optuna/optuna_by_selector_extratrees_gradientboosting.pkl,../models/models_ensemble_v2/base/optuna_by_selector_extratrees_gradientboosting.pkl,0.00031816011453045245
Fisher,DecisionTree,0.9679788639365918,0.9687283828560659,0.9679400618557904,0.10653698515418454,GradientBoosting,0.9679260237780714,0.9685280596026715,0.9678922824296855,0.09996785632212815,../models/models_ensemble_v2/optuna/optuna_by_selector_fisher_gradientboosting.pkl,../models/models_ensemble_v2/base/optuna_by_selector_fisher_gradientboosting.pkl,-4.777942610489916e-05
LassoCV,DecisionTree,0.9679788639365918,0.9687204328135551,0.9679403309371366,0.10828218835937785,GradientBoosting,0.9678731836195509,0.9684930488588672,0.9678387440323555,0.10242240788620302,../models/models_ensemble_v2/optuna/optuna_by_selector_lassocv_gradientboosting.pkl,../models/models_ensemble_v2/base/optuna_by_selector_lassocv_gradientboosting.pkl,-0.00010158690478112575
LinearSVC_L1,GradientBoosting,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07359721208114085,GradientBoosting,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734,../models/models_ensemble_v2/optuna/optuna_by_selector_linearsvc_l1_gradientboosting.pkl,../models/models_ensemble_v2/base/optuna_by_selector_linearsvc_l1_gradientboosting.pkl,0.00031816011453045245
LowVariance,GradientBoosting,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07360984440517557,GradientBoosting,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734,../models/models_ensemble_v2/optuna/optuna_by_selector_lowvariance_gradientboosting.pkl,../models/models_ensemble_v2/base/optuna_by_selector_lowvariance_gradientboosting.pkl,0.00031816011453045245
Pearson,DecisionTree,0.9679788639365918,0.9687283828560659,0.9679400618557904,0.10653698515418454,GradientBoosting,0.9679260237780714,0.9685280596026715,0.9678922824296855,0.09996785632212815,../models/models_ensemble_v2/optuna/optuna_by_selector_pearson_gradientboosting.pkl,../models/models_ensemble_v2/base/optuna_by_selector_pearson_gradientboosting.pkl,-4.777942610489916e-05
mRMR,GradientBoosting,0.9750066050198151,0.9753875818427458,0.9749872988039685,0.07362571858660232,GradientBoosting,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734,../models/models_ensemble_v2/optuna/optuna_by_selector_mrmr_gradientboosting.pkl,../models/models_ensemble_v2/base/optuna_by_selector_mrmr_gradientboosting.pkl,0.00037095201879755457
