seletor,modelo,n_features,accuracy,precision,f1,log_loss,fp_per_class,fn_per_class,model_path_optuna,model_path_refactored
LinearSVC_L1,LDA,15,0.9236459709379128,0.9324122281374386,0.9230275656639161,0.37645073224786374,"[37, 1408]","[1408, 37]",../models/models_ensemble_v2/optuna/optuna_by_selector_linearsvc_l1_lda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_linearsvc_l1_lda.pkl
LinearSVC_L1,GaussianNB,15,0.9234874504623514,0.9319958064575773,0.9228820400158961,1.530592434498436,"[48, 1400]","[1400, 48]",../models/models_ensemble_v2/optuna/optuna_by_selector_linearsvc_l1_gaussiannb.pkl,../models/models_ensemble_v2/base/optuna_by_selector_linearsvc_l1_gaussiannb.pkl
LinearSVC_L1,QDA,15,0.923223249669749,0.9317113219691701,0.9226164982729753,1.022836120933883,"[51, 1402]","[1402, 51]",../models/models_ensemble_v2/optuna/optuna_by_selector_linearsvc_l1_qda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_linearsvc_l1_qda.pkl
LowVariance,GradientBoosting,12,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734,"[99, 367]","[367, 99]",../models/models_ensemble_v2/optuna/optuna_by_selector_lowvariance_gradientboosting.pkl,../models/models_ensemble_v2/base/optuna_by_selector_lowvariance_gradientboosting.pkl
LowVariance,RandomForest,12,0.9734742404227212,0.974217668656228,0.9734427643497316,0.08476587019210147,"[59, 443]","[443, 59]",../models/models_ensemble_v2/optuna/optuna_by_selector_lowvariance_randomforest.pkl,../models/models_ensemble_v2/base/optuna_by_selector_lowvariance_randomforest.pkl
LowVariance,DecisionTree,12,0.9688243064729194,0.9699403370003781,0.9687751793249271,0.08908304069915143,"[59, 531]","[531, 59]",../models/models_ensemble_v2/optuna/optuna_by_selector_lowvariance_decisiontree.pkl,../models/models_ensemble_v2/base/optuna_by_selector_lowvariance_decisiontree.pkl
LowVariance,LDA,12,0.9238573315719947,0.9325756168824612,0.9232436432040473,0.37635528002066015,"[37, 1404]","[1404, 37]",../models/models_ensemble_v2/optuna/optuna_by_selector_lowvariance_lda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_lowvariance_lda.pkl
LowVariance,GaussianNB,12,0.9233817701453104,0.9327850090511424,0.9227251498560419,1.2092330429672649,"[16, 1434]","[1434, 16]",../models/models_ensemble_v2/optuna/optuna_by_selector_lowvariance_gaussiannb.pkl,../models/models_ensemble_v2/base/optuna_by_selector_lowvariance_gaussiannb.pkl
LowVariance,QDA,12,0.923223249669749,0.9317113219691701,0.9226164982729753,1.0224981756185252,"[51, 1402]","[1402, 51]",../models/models_ensemble_v2/optuna/optuna_by_selector_lowvariance_qda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_lowvariance_qda.pkl
Pearson,GradientBoosting,15,0.9679260237780714,0.9685280596026715,0.9678922824296855,0.09997765367441339,"[128, 479]","[479, 128]",../models/models_ensemble_v2/optuna/optuna_by_selector_pearson_gradientboosting.pkl,../models/models_ensemble_v2/base/optuna_by_selector_pearson_gradientboosting.pkl
Pearson,DecisionTree,15,0.9673976221928666,0.968248019404539,0.967354628892083,0.10063130863849186,"[101, 516]","[516, 101]",../models/models_ensemble_v2/optuna/optuna_by_selector_pearson_decisiontree.pkl,../models/models_ensemble_v2/base/optuna_by_selector_pearson_decisiontree.pkl
Pearson,RandomForest,15,0.9672919418758257,0.9681590164681819,0.9672482387533144,0.12316066905865494,"[100, 519]","[519, 100]",../models/models_ensemble_v2/optuna/optuna_by_selector_pearson_randomforest.pkl,../models/models_ensemble_v2/base/optuna_by_selector_pearson_randomforest.pkl
Pearson,GaussianNB,15,0.9234874504623514,0.9319958064575773,0.9228820400158961,1.4754018782672698,"[48, 1400]","[1400, 48]",../models/models_ensemble_v2/optuna/optuna_by_selector_pearson_gaussiannb.pkl,../models/models_ensemble_v2/base/optuna_by_selector_pearson_gaussiannb.pkl
Pearson,QDA,15,0.9234874504623514,0.9320488553901473,0.922879047577982,1.1956939170798164,"[46, 1402]","[1402, 46]",../models/models_ensemble_v2/optuna/optuna_by_selector_pearson_qda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_pearson_qda.pkl
Pearson,LDA,15,0.9209511228533686,0.9300902642763974,0.9202848670700556,0.3693954160504253,"[46, 1450]","[1450, 46]",../models/models_ensemble_v2/optuna/optuna_by_selector_pearson_lda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_pearson_lda.pkl
mRMR,GradientBoosting,15,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734,"[99, 367]","[367, 99]",../models/models_ensemble_v2/optuna/optuna_by_selector_mrmr_gradientboosting.pkl,../models/models_ensemble_v2/base/optuna_by_selector_mrmr_gradientboosting.pkl
mRMR,RandomForest,15,0.9731043593130779,0.9738829197464309,0.9730714279683107,0.09589579099425331,"[58, 451]","[451, 58]",../models/models_ensemble_v2/optuna/optuna_by_selector_mrmr_randomforest.pkl,../models/models_ensemble_v2/base/optuna_by_selector_mrmr_randomforest.pkl
mRMR,DecisionTree,15,0.9710964332892998,0.9717145858107762,0.9710657963851876,0.08208379040950631,"[97, 450]","[450, 97]",../models/models_ensemble_v2/optuna/optuna_by_selector_mrmr_decisiontree.pkl,../models/models_ensemble_v2/base/optuna_by_selector_mrmr_decisiontree.pkl
mRMR,LDA,15,0.9238573315719947,0.9325756168824612,0.9232436432040473,0.3766536168957218,"[37, 1404]","[1404, 37]",../models/models_ensemble_v2/optuna/optuna_by_selector_mrmr_lda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_mrmr_lda.pkl
mRMR,QDA,15,0.9234346103038309,0.9320078836665426,0.9228250374912204,1.3005935249175393,"[46, 1403]","[1403, 46]",../models/models_ensemble_v2/optuna/optuna_by_selector_mrmr_qda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_mrmr_qda.pkl
mRMR,GaussianNB,15,0.9233817701453104,0.9327850090511424,0.9227251498560419,1.193211353972003,"[16, 1434]","[1434, 16]",../models/models_ensemble_v2/optuna/optuna_by_selector_mrmr_gaussiannb.pkl,../models/models_ensemble_v2/base/optuna_by_selector_mrmr_gaussiannb.pkl
