modelo,accuracy,precision,recall,f1,log_loss
"SVM Baseline (rbf, C=1.0)",0.9278203434610304,0.9359174266860611,0.9278203434610304,0.927277071001024,0.2226301084619505
SVM Otimizado (rbf),0.9290885072655218,0.9375328274786694,0.9290885072655218,0.928538441843256,0.21791816872759945
