stage,seletor,modelo,status,error_message,n_features,n_trials,n_cv_folds,tempo_fit_sec,tempo_predict_sec,tempo_proba_sec,tempo_joblib_dump_sec,tempo_otimizacao_sec,tempo_total_sec,experiment_timestamp
feature_selection,LassoCV,RandomForest,success,,15.0,,,0.8105340170004638,0.035813794000205235,0.03588511800080596,,,0.882232929001475,2026-06-02T15:42:02.440679
feature_selection,LassoCV,GradientBoosting,success,,15.0,,,2.199309910000011,0.020925101000102586,0.020829325998420245,,,2.2410643369985337,2026-06-02T15:42:04.801661
feature_selection_selector_total,LassoCV,,success,,15.0,,,,,,,,4.171646905000671,2026-06-02T15:42:04.801754
feature_selection,LinearSVC_L1,LDA,success,,15.0,,,0.08447052800147503,0.0009824469998420682,0.0007670100003451807,,,0.08621998500166228,2026-06-02T15:42:05.035593
feature_selection,LinearSVC_L1,QDA,success,,15.0,,,0.08194610099963029,0.002939740999863716,0.0025106149987550452,,,0.08739645699824905,2026-06-02T15:42:05.283808
feature_selection,LinearSVC_L1,GaussianNB,success,,15.0,,,0.04796621499917819,0.0017404430000169668,0.0020209329995850567,,,0.051727590998780215,2026-06-02T15:42:05.439437
feature_selection,LinearSVC_L1,DecisionTree,success,,15.0,,,0.07487262599897804,0.0014128620005067205,0.0008401089999097167,,,0.07712559699939447,2026-06-02T15:42:05.637278
feature_selection,LinearSVC_L1,RandomForest,success,,15.0,,,1.133772178000072,0.04167492300075537,0.04173986400019203,,,1.2171869650010194,2026-06-02T15:42:06.975912
feature_selection,LinearSVC_L1,GradientBoosting,success,,15.0,,,3.749941836000289,0.020208309000736335,0.020158475999778602,,,3.790308621000804,2026-06-02T15:42:10.888126
feature_selection_selector_total,LinearSVC_L1,,success,,15.0,,,,,,,,6.082452783000917,2026-06-02T15:42:10.888217
feature_selection,ExtraTrees,LDA,success,,15.0,,,0.0858390520006651,0.0009601519996067509,0.0007633160003024386,,,0.0875625200005743,2026-06-02T15:42:11.124058
feature_selection,ExtraTrees,QDA,success,,15.0,,,0.07543198699931963,0.0031621679991076235,0.002525816000343184,,,0.08111997099877044,2026-06-02T15:42:11.365806
feature_selection,ExtraTrees,GaussianNB,success,,15.0,,,0.04772408899953007,0.001771899998857407,0.0020631610004784307,,,0.051559149998865905,2026-06-02T15:42:11.522425
feature_selection,ExtraTrees,DecisionTree,success,,15.0,,,0.07492675899993628,0.0013533759993151762,0.0008368990002054488,,,0.07711703399945691,2026-06-02T15:42:11.719367
feature_selection,ExtraTrees,RandomForest,success,,15.0,,,1.1296267510006146,0.04199171300024318,0.04222277799999574,,,1.2138412420008535,2026-06-02T15:42:13.054660
feature_selection,ExtraTrees,GradientBoosting,success,,15.0,,,3.8353881200000615,0.020597295000698068,0.02019000300060725,,,3.876175418001367,2026-06-02T15:42:17.052077
feature_selection_selector_total,ExtraTrees,,success,,15.0,,,,,,,,6.159917974999189,2026-06-02T15:42:17.052177
optuna_global_optimization,,LDA,success,,,10.0,3.0,,,,,4.439301843998692,4.439301843998692,2026-06-02T15:42:23.110109
optuna_global_optimization,,QDA,success,,,10.0,3.0,,,,,5.163952793000135,5.163952793000135,2026-06-02T15:42:28.275189
optuna_global_optimization,,GaussianNB,success,,,10.0,3.0,,,,,2.8567899700010457,2.8567899700010457,2026-06-02T15:42:31.133048
