seletor,modelo,n_features,accuracy,precision,f1,log_loss
ExtraTrees,GradientBoosting,15,0.975112285336856,0.9754992088371812,0.9750928828494559,0.07355942856544816
Fisher,DecisionTree,15,0.9679788639365918,0.9687283828560659,0.9679400618557904,0.10653698515418454
LassoCV,DecisionTree,15,0.9679788639365918,0.9687204328135551,0.9679403309371366,0.10993647924131829
LinearSVC_L1,GradientBoosting,15,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07360720587685798
LowVariance,GradientBoosting,12,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.0736174831123693
Pearson,DecisionTree,15,0.9679788639365918,0.9687283828560659,0.9679400618557904,0.10653698515418454
mRMR,GradientBoosting,15,0.9750066050198151,0.9753875818427458,0.9749872988039685,0.07362571858660232
