Metodo,accuracy,precision,f1,log_loss
Averaging,0.9258124174372523,0.9350630354410215,0.9251886285079574,0.11570208812900946
Hard Voting,0.9715719947159841,0.9722701829917145,0.9715394397376046,
Smart Soft Voting,0.9746367239101718,0.9752983576905196,0.9746089211998584,0.08288349409121107
