stage,n_registros,tempo_total_sec,tempo_medio_sec,tempo_min_sec,tempo_max_sec
optuna_by_selector_optimization,42,920.5041915480033,21.91676646542865,2.67820999200012,107.31056993699895
optuna_global_optimization,6,153.22344046499893,25.53724007749982,2.8567899700010457,99.14109576599913
optuna_by_selector_training,42,60.92247657299595,1.4505351564999036,0.04751877300077467,8.571411564997106
feature_selection_selector_total,7,36.67385969499992,5.239122813571417,3.8412639210000634,6.312217482000051
feature_selection,42,31.25898731599409,0.7442616027617641,0.051426196998363594,3.876175418001367
optuna_global_training,6,10.607583303004503,1.7679305505007505,0.054795582003862364,8.006582248997802
baseline,6,6.234255364001001,1.0390425606668334,0.06807069900060014,4.291374526001164
ensemble_smart_voting,1,3.56335607300025,3.56335607300025,3.56335607300025,3.56335607300025
ensemble_hard_voting,1,2.5522176760005095,2.5522176760005095,2.5522176760005095,2.5522176760005095
ensemble_averaging,1,0.10264745499989658,0.10264745499989658,0.10264745499989658,0.10264745499989658
