seletor,n_registros,n_features,tempo_total_sec,tempo_medio_sec,tempo_min_sec,tempo_max_sec
ExtraTrees,19,15.0,164.07379151500027,8.635462711315803,0.07049074300039138,89.70738852899967
mRMR,19,15.0,157.64823558099988,8.29727555689473,0.07114188099967578,84.72907642500013
LinearSVC_L1,19,15.0,157.6425587760009,8.296976777684257,0.06768849400032195,89.31015652499991
LowVariance,19,12.0,154.76820802399743,8.145695159157759,0.06579803299973719,82.56202430600024
Fisher,19,15.0,101.38197321799953,5.3358933272631335,0.07046784599970124,47.600872114999675
Pearson,19,15.0,101.35258298899907,5.334346473105215,0.06870817800017903,47.48663530600015
LassoCV,19,15.0,95.4325124539987,5.0227638133683525,0.06810158799999044,43.12587690100008
