stage,seletor,modelo,status,error_message,n_features,n_trials,n_cv_folds,tempo_fit_sec,tempo_predict_sec,tempo_proba_sec,tempo_joblib_dump_sec,tempo_otimizacao_sec,tempo_total_sec,experiment_timestamp
optuna_by_selector_optimization,mRMR,GaussianNB,success,,15.0,10.0,3.0,,,,,3.9857618030000594,3.9857618030000594,2026-04-24T11:02:35.881488
optuna_by_selector_training,mRMR,GaussianNB,success,,15.0,,,0.07470373900014238,0.003316612000162422,0.004343140999935713,0.0008083529996838479,,0.08317184499992436,2026-04-24T11:02:36.121167
optuna_by_selector_optimization,mRMR,DecisionTree,success,,15.0,12.0,3.0,,,,,5.802203968999947,5.802203968999947,2026-04-24T11:02:41.924518
optuna_by_selector_training,mRMR,DecisionTree,success,,15.0,,,0.10111815700020088,0.0018564530000730883,0.0012250940003468713,0.0013428709999061539,,0.105542575000527,2026-04-24T11:02:42.196526
optuna_by_selector_optimization,mRMR,RandomForest,success,,15.0,12.0,3.0,,,,,28.556018510000285,28.556018510000285,2026-04-24T11:03:10.753556
optuna_by_selector_training,mRMR,RandomForest,success,,15.0,,,1.7658487530002276,0.0779188520000389,0.07823748500004513,0.03796945099975346,,1.959974541000065,2026-04-24T11:03:12.888439
optuna_by_selector_optimization,mRMR,GradientBoosting,success,,15.0,12.0,3.0,,,,,84.72907642500013,84.72907642500013,2026-04-24T11:04:37.618573
optuna_by_selector_training,mRMR,GradientBoosting,success,,15.0,,,6.138582200000201,0.03570261599998048,0.03550382499997795,0.006865897000352561,,6.216654538000512,2026-04-24T11:04:44.007141
optuna_by_selector_optimization,LassoCV,LDA,success,,15.0,10.0,3.0,,,,,5.362346244000037,5.362346244000037,2026-04-24T11:04:49.373814
optuna_by_selector_training,LassoCV,LDA,success,,15.0,,,0.11369417500009149,0.00104964199999813,0.0008620129997325421,0.0008714890000192099,,0.11647731899984137,2026-04-24T11:04:49.664514
optuna_by_selector_optimization,LassoCV,QDA,success,,15.0,10.0,3.0,,,,,5.94644613499986,5.94644613499986,2026-04-24T11:04:55.611973
optuna_by_selector_training,LassoCV,QDA,success,,15.0,,,0.10294884200038723,0.0032860970000001544,0.0032991660000334377,0.0010472429999026645,,0.11058134800032349,2026-04-24T11:04:55.916283
optuna_by_selector_optimization,LassoCV,GaussianNB,success,,15.0,10.0,3.0,,,,,3.7944004679998216,3.7944004679998216,2026-04-24T11:04:59.711683
optuna_by_selector_training,LassoCV,GaussianNB,success,,15.0,,,0.06516388599993661,0.0021628300000884337,0.0031183809996946366,0.0007797900002515235,,0.0712248869999712,2026-04-24T11:04:59.927270
optuna_by_selector_optimization,LassoCV,DecisionTree,success,,15.0,12.0,3.0,,,,,4.9798147779997635,4.9798147779997635,2026-04-24T11:05:04.908032
optuna_by_selector_training,LassoCV,DecisionTree,success,,15.0,,,0.07205614999975296,0.0017829560001700884,0.0013283029998092388,0.0014260169996305194,,0.07659342599936281,2026-04-24T11:05:05.152846
optuna_by_selector_optimization,LassoCV,RandomForest,success,,15.0,12.0,3.0,,,,,18.822062051000103,18.822062051000103,2026-04-24T11:05:23.975887
optuna_by_selector_training,LassoCV,RandomForest,success,,15.0,,,0.6476911210002072,0.03440818099988974,0.03271769200000563,0.021901188000356342,,0.7367181820004589,2026-04-24T11:05:24.882900
optuna_by_selector_optimization,LassoCV,GradientBoosting,success,,15.0,12.0,3.0,,,,,43.12587690100008,43.12587690100008,2026-04-24T11:06:08.009889
optuna_by_selector_training,LassoCV,GradientBoosting,success,,15.0,,,3.5872463129999232,0.034469966999949975,0.034166197999638825,0.0073069240002041624,,3.663189401999716,2026-04-24T11:06:11.839414
optuna_by_selector_optimization,LinearSVC_L1,LDA,success,,15.0,10.0,3.0,,,,,5.3480585000002065,5.3480585000002065,2026-04-24T11:06:17.192648
optuna_by_selector_training,LinearSVC_L1,LDA,success,,15.0,,,0.11492680100036523,0.0010955329998978414,0.00090021699998033,0.0008465670002806291,,0.11776911800052403,2026-04-24T11:06:17.487479
optuna_by_selector_optimization,LinearSVC_L1,QDA,success,,15.0,10.0,3.0,,,,,5.91797760999998,5.91797760999998,2026-04-24T11:06:23.406419
optuna_by_selector_training,LinearSVC_L1,QDA,success,,15.0,,,0.10221322899997176,0.0034384249997856386,0.0029310489999261335,0.0009853799997472379,,0.10956808299943077,2026-04-24T11:06:23.715467
optuna_by_selector_optimization,LinearSVC_L1,GaussianNB,success,,15.0,10.0,3.0,,,,,3.8171197550000215,3.8171197550000215,2026-04-24T11:06:27.533532
optuna_by_selector_training,LinearSVC_L1,GaussianNB,success,,15.0,,,0.06555634400001509,0.0024076139998214785,0.002900015000250278,0.0008109630002763879,,0.07167493600036323,2026-04-24T11:06:27.754537
optuna_by_selector_optimization,LinearSVC_L1,DecisionTree,success,,15.0,12.0,3.0,,,,,5.5717664120002155,5.5717664120002155,2026-04-24T11:06:33.327258
optuna_by_selector_training,LinearSVC_L1,DecisionTree,success,,15.0,,,0.09662727299973994,0.0020938390002811502,0.0013618240000141668,0.0016160740001396334,,0.1016990100001749,2026-04-24T11:06:33.596285
optuna_by_selector_optimization,LinearSVC_L1,RandomForest,success,,15.0,12.0,3.0,,,,,25.291269192999607,25.291269192999607,2026-04-24T11:06:58.888612
optuna_by_selector_training,LinearSVC_L1,RandomForest,success,,15.0,,,0.9160988399999042,0.040727926999807096,0.040076858999782417,0.02191308500005107,,1.0188167109995447,2026-04-24T11:07:00.087311
optuna_by_selector_optimization,LinearSVC_L1,GradientBoosting,success,,15.0,12.0,3.0,,,,,89.31015652499991,89.31015652499991,2026-04-24T11:08:29.398504
optuna_by_selector_training,LinearSVC_L1,GradientBoosting,success,,15.0,,,6.561067435000041,0.036290258999997604,0.03644273700001577,0.006692115000078047,,6.640492546000132,2026-04-24T11:08:36.214165
optuna_by_selector_optimization,ExtraTrees,LDA,success,,15.0,10.0,3.0,,,,,5.681315658999665,5.681315658999665,2026-04-24T11:08:41.900611
optuna_by_selector_training,ExtraTrees,LDA,success,,15.0,,,0.11699466700019912,0.001057001999924978,0.0009410279999428894,0.0009019510002872266,,0.11989464800035421,2026-04-24T11:08:42.205264
optuna_by_selector_optimization,ExtraTrees,QDA,success,,15.0,10.0,3.0,,,,,6.224092407000171,6.224092407000171,2026-04-24T11:08:48.430322
optuna_by_selector_training,ExtraTrees,QDA,success,,15.0,,,0.10612477499989836,0.007037287000002834,0.0036374040000737295,0.0009669770001892175,,0.11776644300016414,2026-04-24T11:08:48.752601
optuna_by_selector_optimization,ExtraTrees,GaussianNB,success,,15.0,10.0,3.0,,,,,3.9963024419998874,3.9963024419998874,2026-04-24T11:08:52.749885
optuna_by_selector_training,ExtraTrees,GaussianNB,success,,15.0,,,0.06635383299999376,0.0023620659999323834,0.0030604359999415465,0.0010974740002893668,,0.07287380900015705,2026-04-24T11:08:52.991298
optuna_by_selector_optimization,ExtraTrees,DecisionTree,success,,15.0,12.0,3.0,,,,,6.059127484000328,6.059127484000328,2026-04-24T11:08:59.051988
optuna_by_selector_training,ExtraTrees,DecisionTree,success,,15.0,,,0.10478890800004592,0.002086466000037035,0.0014019260001987277,0.0014666600000055041,,0.10974396000028719,2026-04-24T11:08:59.339011
optuna_by_selector_optimization,ExtraTrees,RandomForest,success,,15.0,12.0,3.0,,,,,28.666022744000202,28.666022744000202,2026-04-24T11:09:28.006072
optuna_by_selector_training,ExtraTrees,RandomForest,success,,15.0,,,1.8603565960002015,0.0763209899996582,0.07390569399967717,0.0382524800002102,,2.048835759999747,2026-04-24T11:09:30.229247
optuna_by_selector_optimization,ExtraTrees,GradientBoosting,success,,15.0,12.0,3.0,,,,,89.70738852899967,89.70738852899967,2026-04-24T11:10:59.937716
optuna_by_selector_training,ExtraTrees,GradientBoosting,success,,15.0,,,6.587113215000045,0.035878197999863914,0.03595868499996868,0.006713763999869116,,6.665663861999747,2026-04-24T11:11:06.774968
