run_id,model_id,n_samples,mean_ms,std_ms,variance_ms,cv,ci95_lower,ci95_upper
t01,lowvariance_lda,50,126.20854,67.61051617158506,4571.181896988165,0.5357047642860385,106.99384390559233,145.42323609440766
t01,lowvariance_decisiontree,50,131.25459999999998,67.78959239546184,4595.428837142857,0.5164740313517534,111.98901100587248,150.52018899412747
t01,lowvariance_gradientboosting,50,471.2578,258.09984277675903,66615.52884138773,0.5476829089656639,397.9066362789028,544.6089637210971
t01,lowvariance_randomforest,50,4445.77308,1187.8181528394537,1410911.9642149317,0.26717921303339526,4108.198896062281,4783.347263937719
t02,lowvariance_lda,50,93.55882,46.92863446470652,2202.2967327220404,0.5015949801922098,80.22184965242187,106.89579034757813
t02,lowvariance_decisiontree,50,92.5041,37.77479060585679,1426.9348053163267,0.4083580144648377,81.76862329280586,103.23957670719413
t02,lowvariance_gradientboosting,50,407.80916,138.14230640773067,19083.29681964735,0.3387425294903397,368.54955090799535,447.0687690920047
t02,lowvariance_randomforest,50,4687.70436,1791.2856480364765,3208704.2728614593,0.38212427885202144,4178.626611533402,5196.7821084665975
t03,lowvariance_lda,50,106.48178000000001,57.862400738264476,3348.0574191955093,0.5434018922135267,90.03746765875145,122.92609234124858
t03,lowvariance_decisiontree,50,99.47652,49.10204011399867,2411.010343356734,0.4936043210397657,85.52187460117638,113.43116539882361
t03,lowvariance_gradientboosting,50,450.12291999999997,214.76503310484247,46124.019444524085,0.4771252996955642,389.0873729211674,511.15846707883253
t03,lowvariance_randomforest,50,4664.82834,1799.4714835266313,3238097.6200255356,0.38575299075777597,4153.424202827496,5176.232477172504
t04,lowvariance_lda,50,109.39435999999998,80.55257921174017,6488.718017663674,0.7363503859955868,86.50157028595272,132.28714971404725
t04,lowvariance_decisiontree,50,115.67268,82.97202479455201,6884.356898507754,0.7173000988180789,92.09229145927459,139.25306854072542
t04,lowvariance_gradientboosting,50,439.91712,196.76250147308176,38715.4819859445,0.4472717530817663,383.99783580187625,495.8364041981238
t04,lowvariance_randomforest,50,4671.59976,1935.8640811624352,3747569.74073488,0.41438996930730965,4121.433275466506,5221.7662445334945
t05,lowvariance_lda,50,106.12484,56.312170865326394,3171.0605875657147,0.5306219624484371,90.121098113936,122.12858188606401
t05,lowvariance_decisiontree,50,109.62618,53.61776027212991,2874.864216599592,0.48909631141147036,94.38818113193682,124.86417886806319
t05,lowvariance_gradientboosting,50,463.69284,201.81484654235095,40729.232284912665,0.435233907304566,406.3376952203106,521.0479847796894
t05,lowvariance_randomforest,50,4812.98402,1723.6158793175148,2970851.6994354897,0.35811793102889106,4323.137807015455,5302.830232984545
t06,lowvariance_lda,50,95.35486,52.11679248004977,2716.160058408572,0.5465562267098895,80.54343145864635,110.16628854135365
t06,lowvariance_decisiontree,50,94.15256,42.17059239306511,1778.3588627820407,0.4478963970078467,82.16781024749875,106.13730975250124
t06,lowvariance_gradientboosting,50,455.50442,199.3121086347035,39725.31664841185,0.43756350077723394,398.8605454637939,512.148294536206
t06,lowvariance_randomforest,50,4590.86218,2062.9853165107124,4255908.4161388045,0.44936772998720526,4004.568240113793,5177.156119886207
