model_id,model_file,dataset_file,rows,n_features,load_time_sec,dataset_read_time_sec,inference_time_sec,inference_time_ms,avg_inference_ms_per_row,predictions_per_sec,accuracy,status,error,created_at
extratrees_decisiontree,optuna_by_selector_extratrees_decisiontree.pkl,test_optuna_by_selector_extratrees_decisiontree.csv,18925,15,0.0003773680000449531,0.01051814899983583,0.0018087899989041034,1.8087899989041034,9.557675027234364e-05,10462795.576858642,0.9710964332892998,success,,2026-06-05T00:50:58.553048+00:00
extratrees_gaussiannb,optuna_by_selector_extratrees_gaussiannb.pkl,test_optuna_by_selector_extratrees_gaussiannb.csv,18925,15,0.00029941200045868754,0.012295838998397812,0.004064895998453721,4.064895998453721,0.0002147897489275414,4655715.670757391,0.9234874504623514,success,,2026-06-05T00:50:58.901829+00:00
extratrees_gradientboosting,optuna_by_selector_extratrees_gradientboosting.pkl,test_optuna_by_selector_extratrees_gradientboosting.csv,18925,15,0.0032118390008690767,0.010305011001037201,0.05628214299940737,56.28214299940737,0.0029739573579607593,336252.29942291416,0.9753764861294584,success,,2026-06-05T00:50:59.254160+00:00
extratrees_lda,optuna_by_selector_extratrees_lda.pkl,test_optuna_by_selector_extratrees_lda.csv,18925,15,0.00031250499887391925,0.02808066700163181,0.001187824997032294,1.187824997032294,6.276486113776983e-05,15932481.676411022,0.9238573315719947,success,,2026-06-05T00:50:59.659586+00:00
extratrees_qda,optuna_by_selector_extratrees_qda.pkl,test_optuna_by_selector_extratrees_qda.csv,18925,15,0.00030436399902100675,0.027566142001887783,0.006545415999426041,6.545415999426041,0.00034586081899212897,2891336.4714572015,0.9235402906208718,success,,2026-06-05T00:51:00.037513+00:00
extratrees_randomforest,optuna_by_selector_extratrees_randomforest.pkl,test_optuna_by_selector_extratrees_randomforest.csv,18925,15,0.02673407000111183,0.010829500999534503,0.1470598460000474,147.0598460000474,0.007770665574639229,128689.10525034754,0.9729458388375165,success,,2026-06-05T00:51:00.450041+00:00
fisher_decisiontree,optuna_by_selector_fisher_decisiontree.pkl,test_optuna_by_selector_fisher_decisiontree.csv,18925,15,0.00041262200102210045,0.009871193000435596,0.0016081860012491234,1.6081860012491234,8.497680323641338e-05,11767917.383499432,0.9673976221928666,success,,2026-06-05T00:51:00.993715+00:00
fisher_gaussiannb,optuna_by_selector_fisher_gaussiannb.pkl,test_optuna_by_selector_fisher_gaussiannb.csv,18925,15,0.0002809649995469954,0.01015621300030034,0.002688838001631666,2.688838001631666,0.00014207862624209596,7038356.341481247,0.9234874504623514,success,,2026-06-05T00:51:01.353942+00:00
fisher_gradientboosting,optuna_by_selector_fisher_gradientboosting.pkl,test_optuna_by_selector_fisher_gradientboosting.csv,18925,15,0.003182976997777587,0.009626387000025716,0.04948920099923271,49.48920099923271,0.0026150172258511337,382406.6587838712,0.9679260237780714,success,,2026-06-05T00:51:01.717668+00:00
fisher_lda,optuna_by_selector_fisher_lda.pkl,test_optuna_by_selector_fisher_lda.csv,18925,15,0.00032478900175192393,0.02144050199785852,0.001076669999747537,1.076669999747537,5.689141346090024e-05,17577344.965901926,0.9209511228533686,success,,2026-06-05T00:51:02.123889+00:00
fisher_qda,optuna_by_selector_fisher_qda.pkl,test_optuna_by_selector_fisher_qda.csv,18925,15,0.0003235990006942302,0.02033768000183045,0.004447046001587296,4.447046001587296,0.00023498261567171972,4255633.963139812,0.9234874504623514,success,,2026-06-05T00:51:02.525192+00:00
fisher_randomforest,optuna_by_selector_fisher_randomforest.pkl,test_optuna_by_selector_fisher_randomforest.csv,18925,15,0.012074475998815615,0.010055951999675017,0.048562571999354986,48.56257199935499,0.0025660540026079255,389703.4119249566,0.9672919418758257,success,,2026-06-05T00:51:02.926856+00:00
lassocv_decisiontree,optuna_by_selector_lassocv_decisiontree.pkl,test_optuna_by_selector_lassocv_decisiontree.csv,18925,15,0.00036807799915550277,0.009586308999132598,0.0015819969994481653,1.5819969994481653,8.359297222975774e-05,11962728.125654757,0.9649669749009248,success,,2026-06-05T00:51:03.347469+00:00
lassocv_gaussiannb,optuna_by_selector_lassocv_gaussiannb.pkl,test_optuna_by_selector_lassocv_gaussiannb.csv,18925,15,0.0002942140017694328,0.01117133899970213,0.0026018520002253354,2.6018520002253354,0.00013748227213872315,7273665.06563824,0.9234346103038309,success,,2026-06-05T00:51:03.710437+00:00
lassocv_gradientboosting,optuna_by_selector_lassocv_gradientboosting.pkl,test_optuna_by_selector_lassocv_gradientboosting.csv,18925,15,0.001446041998860892,0.00972289400306181,0.014090652999584563,14.090652999584563,0.0007445523381550628,1343088.925726719,0.9678731836195509,success,,2026-06-05T00:51:04.076161+00:00
lassocv_lda,optuna_by_selector_lassocv_lda.pkl,test_optuna_by_selector_lassocv_lda.csv,18925,15,0.00040135499875759706,0.02179771100054495,0.0010559600013948511,1.0559600013948511,5.579709386498553e-05,17922080.3581588,0.9234874504623514,success,,2026-06-05T00:51:04.451902+00:00
lassocv_qda,optuna_by_selector_lassocv_qda.pkl,test_optuna_by_selector_lassocv_qda.csv,18925,15,0.00032779799948912114,0.02143211099973996,0.004297178002161672,4.297178002161672,0.00022706356682492324,4404053.07633984,0.9229062087186262,success,,2026-06-05T00:51:04.828007+00:00
lassocv_randomforest,optuna_by_selector_lassocv_randomforest.pkl,test_optuna_by_selector_lassocv_randomforest.csv,18925,15,0.02440800600015791,0.010677021000446985,0.11238618299830705,112.38618299830705,0.00593850372514172,168392.58612675796,0.9672919418758257,success,,2026-06-05T00:51:05.233728+00:00
linearsvc_l1_decisiontree,optuna_by_selector_linearsvc_l1_decisiontree.pkl,test_optuna_by_selector_linearsvc_l1_decisiontree.csv,18925,15,0.00037226999847916886,0.010170065001148032,0.0015548820010735653,1.5548820010735653,8.216021141736144e-05,12171341.61108899,0.9710964332892998,success,,2026-06-05T00:51:05.741850+00:00
linearsvc_l1_gaussiannb,optuna_by_selector_linearsvc_l1_gaussiannb.pkl,test_optuna_by_selector_linearsvc_l1_gaussiannb.csv,18925,15,0.00028484199719969183,0.010328000000299653,0.0023540519978269003,2.3540519978269003,0.0001243884807306156,8039329.639901864,0.9234874504623514,success,,2026-06-05T00:51:06.107260+00:00
linearsvc_l1_gradientboosting,optuna_by_selector_linearsvc_l1_gradientboosting.pkl,test_optuna_by_selector_linearsvc_l1_gradientboosting.csv,18925,15,0.003133166999759851,0.010305843999958597,0.05754332399737905,57.54332399737905,0.0030405983618165943,328882.6346017478,0.9753764861294584,success,,2026-06-05T00:51:06.484132+00:00
linearsvc_l1_lda,optuna_by_selector_linearsvc_l1_lda.pkl,test_optuna_by_selector_linearsvc_l1_lda.csv,18925,15,0.00039942600051290356,0.024901647000660887,0.001098020002245903,1.098020002245903,5.801955097732645e-05,17235569.444354914,0.9236459709379128,success,,2026-06-05T00:51:06.907451+00:00
linearsvc_l1_qda,optuna_by_selector_linearsvc_l1_qda.pkl,test_optuna_by_selector_linearsvc_l1_qda.csv,18925,15,0.00032946799910860136,0.024746731000050204,0.004216527999233222,4.216527999233222,0.00022280200788550708,4488289.892404729,0.923223249669749,success,,2026-06-05T00:51:07.288486+00:00
linearsvc_l1_randomforest,optuna_by_selector_linearsvc_l1_randomforest.pkl,test_optuna_by_selector_linearsvc_l1_randomforest.csv,18925,15,0.026487063001695788,0.010991826999088516,0.144421629000135,144.421629000135,0.007631261770152444,131039.92892908242,0.9730515191545575,success,,2026-06-05T00:51:07.699597+00:00
lowvariance_decisiontree,optuna_by_selector_lowvariance_decisiontree.pkl,test_optuna_by_selector_lowvariance_decisiontree.csv,18925,12,0.00039305199970840476,0.009254049000446685,0.0014599720016121864,1.4599720016121864,7.714515200064393e-05,12962577.350183366,0.9688243064729194,success,,2026-06-05T00:51:08.274955+00:00
lowvariance_gaussiannb,optuna_by_selector_lowvariance_gaussiannb.pkl,test_optuna_by_selector_lowvariance_gaussiannb.csv,18925,12,0.0003003249985340517,0.009319796998170204,0.0021450820022437256,2.1450820022437256,0.00011334647303797757,8822506.542968854,0.9233817701453104,success,,2026-06-05T00:51:08.660969+00:00
lowvariance_gradientboosting,optuna_by_selector_lowvariance_gradientboosting.pkl,test_optuna_by_selector_lowvariance_gradientboosting.csv,18925,12,0.003686976997414604,0.009940399002516642,0.05623044599997229,56.23044599997229,0.0029712256803155765,336561.4421768827,0.9753764861294584,success,,2026-06-05T00:51:09.039739+00:00
lowvariance_lda,optuna_by_selector_lowvariance_lda.pkl,test_optuna_by_selector_lowvariance_lda.csv,18925,12,0.00035364399809623137,0.02395891700143693,0.0012601570015249308,1.2601570015249308,6.658689572126451e-05,15017969.964931857,0.9238573315719947,success,,2026-06-05T00:51:09.464669+00:00
lowvariance_qda,optuna_by_selector_lowvariance_qda.pkl,test_optuna_by_selector_lowvariance_qda.csv,18925,12,0.00034872800097218715,0.02302599000176997,0.003298037998320069,3.298037998320069,0.00017426885063778438,5738260.144255427,0.923223249669749,success,,2026-06-05T00:51:09.849661+00:00
lowvariance_randomforest,optuna_by_selector_lowvariance_randomforest.pkl,test_optuna_by_selector_lowvariance_randomforest.csv,18925,12,0.02759961999981897,0.010075631998915924,0.15282422699965537,152.82422699965537,0.008075256380430931,123835.07753677483,0.9734742404227212,success,,2026-06-05T00:51:10.238378+00:00
mrmr_decisiontree,optuna_by_selector_mrmr_decisiontree.pkl,test_optuna_by_selector_mrmr_decisiontree.csv,18925,15,0.00039232999915839173,0.010402460000477731,0.0016928749973885715,1.6928749973885715,8.945178321736177e-05,11179206.98763565,0.9710964332892998,success,,2026-06-05T00:51:10.804940+00:00
mrmr_gaussiannb,optuna_by_selector_mrmr_gaussiannb.pkl,test_optuna_by_selector_mrmr_gaussiannb.csv,18925,15,0.00032920599915087223,0.011000364000210539,0.0032330409994756337,3.2330409994756337,0.00017083439891548924,5853622.024301406,0.9233817701453104,success,,2026-06-05T00:51:11.190491+00:00
mrmr_gradientboosting,optuna_by_selector_mrmr_gradientboosting.pkl,test_optuna_by_selector_mrmr_gradientboosting.csv,18925,15,0.003594079000322381,0.010602710000966908,0.05681091699807439,56.81091699807439,0.0030018978598718303,333122.5933325713,0.9753764861294584,success,,2026-06-05T00:51:11.578932+00:00
mrmr_lda,optuna_by_selector_mrmr_lda.pkl,test_optuna_by_selector_mrmr_lda.csv,18925,15,0.00032410499989055097,0.026079343999299454,0.0011156090004078578,1.1156090004078578,5.894895642842049e-05,16963828.718736734,0.9238573315719947,success,,2026-06-05T00:51:12.019712+00:00
mrmr_qda,optuna_by_selector_mrmr_qda.pkl,test_optuna_by_selector_mrmr_qda.csv,18925,15,0.0003452950004430022,0.02623266799855628,0.009173370999633335,9.173370999633335,0.00048472237778775874,2063036.5871778699,0.9234346103038309,success,,2026-06-05T00:51:12.402704+00:00
mrmr_randomforest,optuna_by_selector_mrmr_randomforest.pkl,test_optuna_by_selector_mrmr_randomforest.csv,18925,15,0.02637402199979988,0.012055809998855693,0.1345816079992801,134.5816079992801,0.007111313500622462,140620.99778226184,0.9731043593130779,success,,2026-06-05T00:51:12.835642+00:00
pearson_decisiontree,optuna_by_selector_pearson_decisiontree.pkl,test_optuna_by_selector_pearson_decisiontree.csv,18925,15,0.000477538000268396,0.010771716999443015,0.0021187909987929743,2.1187909987929743,0.00011195725224797751,8931980.554373287,0.9673976221928666,success,,2026-06-05T00:51:13.378914+00:00
pearson_gaussiannb,optuna_by_selector_pearson_gaussiannb.pkl,test_optuna_by_selector_pearson_gaussiannb.csv,18925,15,0.00032785900111775845,0.010005026000726502,0.0025706519991217647,2.5706519991217647,0.00013583365913457144,7361945.5322873425,0.9234874504623514,success,,2026-06-05T00:51:13.788886+00:00
pearson_gradientboosting,optuna_by_selector_pearson_gradientboosting.pkl,test_optuna_by_selector_pearson_gradientboosting.csv,18925,15,0.003287168001406826,0.009798554001463344,0.04879373500079964,48.79373500079964,0.0025782686922483297,387857.1705914674,0.9679260237780714,success,,2026-06-05T00:51:14.153247+00:00
pearson_lda,optuna_by_selector_pearson_lda.pkl,test_optuna_by_selector_pearson_lda.csv,18925,15,0.00036707099934574217,0.020201977000397164,0.001235408999491483,1.235408999491483,6.527920737075208e-05,15318813.45189316,0.9209511228533686,success,,2026-06-05T00:51:14.558908+00:00
pearson_qda,optuna_by_selector_pearson_qda.pkl,test_optuna_by_selector_pearson_qda.csv,18925,15,0.0004600380016199779,0.02145363299860037,0.00971177099927445,9.71177099927445,0.0005131715191162193,1948666.2114884974,0.9234874504623514,success,,2026-06-05T00:51:14.944664+00:00
