timestamp,target_url,endpoint,concurrency,requests,duration_sec,throughput_req_per_sec,uvicorn_workers,memory_used_mb,memory_available_mb,memory_total_mb,model_id,n_requests,inference_time_ms_avg,inference_time_ms_std,inference_time_ms_min,inference_time_ms_max,inference_time_ms_p50,inference_time_ms_ci95_lower,inference_time_ms_ci95_upper,accuracy
20260619_162859,http://192.168.20.83:8000,/benchmark,30,50,758.229,0.05,4,2466,1329,3795,extratrees_gradientboosting,41,616.189,365.093,305.961,2244.825,510.118,500.952,731.427,0.9754
20260619_162859,http://192.168.20.83:8000,/benchmark,30,50,758.229,0.05,4,2466,1329,3795,lowvariance_decisiontree,41,105.628,57.03,16.858,323.953,94.013,87.627,123.628,0.9688
20260619_162859,http://192.168.20.83:8000,/benchmark,30,50,758.229,0.05,4,2466,1329,3795,lowvariance_gradientboosting,41,658.893,601.356,184.354,3073.904,449.434,469.082,848.704,0.9754
20260619_162859,http://192.168.20.83:8000,/benchmark,30,50,758.229,0.05,4,2466,1329,3795,lowvariance_lda,41,127.943,98.022,5.981,424.87,90.914,97.004,158.883,0.9239
20260619_162859,http://192.168.20.83:8000,/benchmark,30,50,758.229,0.05,4,2466,1329,3795,lowvariance_randomforest,41,8198.389,4614.828,613.718,17432.414,6963.123,6741.77,9655.007,0.9735
20260619_162859,http://192.168.20.83:8000,/benchmark,30,50,758.229,0.05,4,2466,1329,3795,lowvariance_svm,41,237211.473,70464.702,29061.943,315047.372,259992.121,214970.086,259452.859,0.9291
